,o,d,tsrc,logit,abs,rel
35023544,3502,3544,35.28267397,18.12183022,17.16084375,0.486381609
35023547,3502,3547,38.34852849,14.02130149,24.32722701,0.634371851
35023548,3502,3548,19.15300384,27.62197141,8.468967577,0.442174379
35023553,3502,3553,17.33312767,29.50293286,12.16980519,0.702112476
35023556,3502,3556,6.058653425,79.93406263,73.8754092,12.19337104
35023557,3502,3557,40.71850767,32.31226166,8.406246009,0.206447792
35029753,3502,9753,230.4326556,9.233190893,221.1994647,0.959931066
35029767,3502,9767,7.998965205,13.97886528,5.979900079,0.747584209
35029771,3502,9771,776.4329523,19.00439482,757.4285575,0.975523457
35029775,3502,9775,47.9131789,17.45947644,30.45370247,0.635601794
35029776,3502,9776,2.547433151,14.83236357,12.28493042,4.822474111
35029777,3502,9777,62.86433288,8.384335148,54.47999773,0.866628106
35029787,3502,9787,14.96072384,9.279653164,5.681070672,0.37973234
35029788,3502,9788,855.0969904,16.33512612,838.7618643,0.980896756
35029789,3502,9789,1.857983562,8.084931321,6.22694776,3.351454711
35029791,3502,9791,24.18700712,8.471918232,15.71508889,0.649732677
35029792,3502,9792,1.523347123,7.437092973,5.913745849,3.88207373
35029793,3502,9793,12.55732493,6.532876374,6.024448557,0.479755727
35029794,3502,9794,6.417100548,9.668531107,3.251430559,0.50668219
35029797,3502,9797,4.44948274,6.7596386,2.31015586,0.519196499
35063501,3506,3501,3078.00203,12.85948983,3065.14254,0.995822131
35063502,3506,3502,1786.819195,7.003117338,1779.816077,0.996080679
35063506,3506,3506,3260.260397,6.640821374,3253.619575,0.997963101
35063507,3506,3507,3183.644965,7.655540363,3175.989425,0.997595354
35063509,3506,3509,3701.802223,16.99850883,3684.803714,0.995408045
35063510,3506,3510,2938.681662,12.37140592,2926.310256,0.995790151
35063511,3506,3511,118.4810403,16.17659241,102.3044479,0.863466827
35063512,3506,3512,799.9052208,47.48736344,752.4178574,0.940633762
35063513,3506,3513,201.9592033,13.08242515,188.8767781,0.935222436
35063514,3506,3514,184.9706005,10.66296536,174.3076352,0.942353188
35063515,3506,3515,439.1173452,5.87903067,433.2383145,0.986611709
35063516,3506,3516,56.04247726,6.42410756,49.6183697,0.885370742
35063518,3506,3518,641.9558014,11.58703792,630.3687634,0.981950412
35063519,3506,3519,111.1781501,7.291757708,103.8863924,0.934413752
35063520,3506,3520,5273.704158,5.554755496,5268.149403,0.998946707
35063521,3506,3521,385.7894636,5.768511101,380.0209525,0.985047515
35063522,3506,3522,24.48228548,8.832183636,15.65010184,0.639241866
35063523,3506,3523,255.8919652,7.509422477,248.3825427,0.970653934
35063524,3506,3524,202.7649011,4.867848696,197.8970524,0.975992646
35063525,3506,3525,296.8867367,16.12955086,280.7571859,0.945671029
35063526,3506,3526,597.878154,12.11630435,585.7618496,0.979734492
35063528,3506,3528,152.1628214,6.8164682,145.3463532,0.955202801
35063529,3506,3529,114.7541236,178.2800944,63.52597083,0.553583338
35063530,3506,3530,326.3339868,5.329896538,321.0040903,0.983667357
35063531,3506,3531,55.29885014,1.71640002,53.58245012,0.96896138
35063532,3506,3532,5.1519,5.400320782,0.248420782,0.048219255
35063534,3506,3534,42.32752,2.80415159,39.52336841,0.933751101
35063536,3506,3536,39.84103315,9.805138809,30.03589434,0.75389346
35063537,3506,3537,244.6710882,1.557934096,243.1131541,0.993632537
35063538,3506,3538,81.30751644,6.107168444,75.20034799,0.924888021
35063539,3506,3539,494.6833427,9.818833693,484.864509,0.980151275
35063540,3506,3540,6.504424658,8.577756756,2.073332098,0.318757186
35063541,3506,3541,41.3186937,2.054364592,39.26432911,0.950280021
35063542,3506,3542,25.30686986,3.358823551,21.94804631,0.867276215
35063543,3506,3543,446.9743959,2.68833591,444.28606,0.993985481
35063544,3506,3544,120.8312019,0.898458936,119.932743,0.992564347
35063546,3506,3546,180.5783915,0.027520666,180.5508708,0.999847597
35063547,3506,3547,4978.795701,0.011407182,4978.784294,0.999997709
35063548,3506,3548,470.5766581,935.5214359,464.9447778,0.98803196
35063549,3506,3549,48.2747937,1151.535911,1103.261117,22.85377176
35063551,3506,3551,26.78401973,1742.181407,1715.397387,64.04555419
35063552,3506,3552,22.5679526,952.1976237,929.6296711,41.19246825
35063553,3506,3553,276.3215775,1217.203133,940.8815556,3.405023827
35063554,3506,3554,160.1245274,348.1403189,188.0157915,1.174184833
35063556,3506,3556,216.0461381,399.5950793,183.5489413,0.849582144
35063557,3506,3557,264.9450258,315.3467308,50.40170501,0.190234577
35063558,3506,3558,29.23027452,249.8492643,220.6189897,7.547619493
35063559,3506,3559,9.171325753,211.8891392,202.7178135,22.10343618
35063560,3506,3560,17.87473205,212.656414,194.7816819,10.89704066
35069753,3506,9753,3236.30933,155.4588893,3080.850441,0.951964144
35069766,3506,9766,167.0603633,137.0177609,30.0426024,0.179830822
35069767,3506,9767,196.0190562,142.287127,53.73192912,0.274115844
35069771,3506,9771,7083.942228,389.0951513,6694.847077,0.945073641
35069775,3506,9775,540.418283,152.7422552,387.6760278,0.717362902
35069776,3506,9776,25.49170164,85.23877185,59.74707021,2.343785089
35069777,3506,9777,38.4150674,63.22283873,24.80777134,0.64578232
35069786,3506,9786,6.757777808,88.21954118,81.46176337,12.05451935
35069787,3506,9787,372.176474,79.75829247,292.4181815,0.785697651
35069788,3506,9788,3772.008445,66.06835814,3705.940087,0.982484568
35069789,3506,9789,109.8494025,74.91611389,34.93328858,0.318010729
35069790,3506,9790,155.9377789,84.47919213,71.45858678,0.458250639
35069791,3506,9791,289.2824167,73.79714087,215.4852758,0.744895864
35069792,3506,9792,136.9478397,71.91250805,65.03533167,0.474891256
35069793,3506,9793,538.8953496,75.92391488,462.9714347,0.85911195
35069794,3506,9794,632.0328745,64.80775332,567.2251212,0.89746142
35069795,3506,9795,38.19919945,55.00589415,16.8066947,0.43997505
35069796,3506,9796,6.221019452,38.53870178,32.31768233,5.194917421
35073501,3507,3501,424.5995184,57.16273344,367.4367849,0.86537259
35073502,3507,3502,22.82673151,55.42544424,32.59871273,1.428093756
35073506,3507,3506,3137.324428,60.42094516,3076.903483,0.980741251
35073507,3507,3507,970.7859685,57.63599672,913.1499718,0.940629553
35073509,3507,3509,373.3700605,70.1341606,303.2359,0.81215912
35073510,3507,3510,2172.018647,83.3363144,2088.682333,0.961631861
35073511,3507,3511,93.24700575,132.5397347,39.29272895,0.421383278
35073512,3507,3512,227.6595479,186.5181562,41.14139178,0.180714546
35073513,3507,3513,102.8752997,682.9221557,580.0468559,5.638349123
35073514,3507,3514,46.05185945,141.5886621,95.53680267,2.074548212
35073515,3507,3515,57.24525041,109.9879529,52.74270246,0.921346349
35073516,3507,3516,28.92583178,50.08717348,21.1613417,0.731572453
35073518,3507,3518,121.1628526,56.50585545,64.65699715,0.533637132
35073519,3507,3519,70.1427611,53.97865971,16.16410139,0.230445753
35073520,3507,3520,541.6119485,67.22795627,474.3839922,0.875874311
35073521,3507,3521,53.96892,43.49374206,10.47517794,0.19409649
35073522,3507,3522,7.24177726,46.72711587,39.48533861,5.452437598
35073524,3507,3524,5.600216164,28.8062882,23.20607203,4.143781481
35073525,3507,3525,122.0127055,59.14696787,62.86573761,0.515239273
35073526,3507,3526,87.66800493,43.30558813,44.3624168,0.506027448
35073529,3507,3529,75.16411726,98.05453607,22.89041881,0.304539182
35073530,3507,3530,52.75291397,42.39028215,10.36263183,0.196437145
35073531,3507,3531,7.031098904,18.42496095,11.39386205,1.620495203
35073532,3507,3532,33.08944219,425.5273025,392.4378603,11.85991163
35073534,3507,3534,25.12366247,15.56843506,9.555227406,0.380327805
35073537,3507,3537,14.25674438,5.634233444,8.622510939,0.60480224
35073538,3507,3538,5.961100822,14.95751576,8.996414938,1.509186844
35073539,3507,3539,86.69873315,26.60570878,60.09302437,0.693124596
35073541,3507,3541,24.4125,79.97348046,55.56098046,2.275923419
35073543,3507,3543,45.71391205,12.15355912,33.56035293,0.734138721
35073544,3507,3544,4.421150959,49.74941793,45.32826697,10.25259427
35073546,3507,3546,9.889347397,78.47358522,68.58423783,6.935163168
35073547,3507,3547,325.1413156,64.6137804,260.5275352,0.801274777
35073548,3507,3548,2.607145479,19.69591605,17.08877057,6.554590337
35073549,3507,3549,5.910083836,28.40576822,22.49568439,3.806322383
35073551,3507,3551,12.40945781,21.0698414,8.660383588,0.697885735
35073553,3507,3553,16.32539616,8.648149336,7.677246828,0.470264045
35073554,3507,3554,25.52315808,0.218506533,25.30465155,0.991438891
35073556,3507,3556,2.042553425,0.092320785,1.95023264,0.954801288
35073557,3507,3557,4.879407123,152.009591,147.1301839,30.1532912
35073558,3507,3558,14.29505397,99.68741514,85.39236117,5.9735599
35079753,3507,9753,46.62915178,400.7827465,354.1535947,7.595111237
35079766,3507,9766,9.970204384,266.8510064,256.880802,25.76484816
35079767,3507,9767,4.250055068,178.6169116,174.3668566,41.02696407
35079771,3507,9771,339.9699452,293.7663387,46.20360652,0.135904974
35079775,3507,9775,40.27636712,136.1708129,95.8944458,2.380911007
35079787,3507,9787,32.1339126,98.21089109,66.07697849,2.056300436
35079788,3507,9788,53.09124767,86.93155588,33.84030821,0.637399001
35079789,3507,9789,2.31368137,67.96364113,65.64995976,28.37467622
35079790,3507,9790,18.96191123,49.46537433,30.5034631,1.608670282
35079791,3507,9791,2.074436164,35.02773719,32.95330103,15.88542545
35079793,3507,9793,35.64577836,91.87203755,56.22625919,1.577360961
35079794,3507,9794,37.67150712,88.59638921,50.92488209,1.351814301
35093501,3509,3501,96.79377014,245.714437,148.9206668,1.538535658
35093502,3509,3502,69.71980329,94.71663018,24.99682689,0.358532665
35093506,3509,3506,2170.182688,21.63670571,2148.545982,0.990030007
35093507,3509,3507,374.2107019,37.35959839,336.8511035,0.900164271
35093509,3509,3509,463.5941277,54.18689412,409.4072335,0.883115659
35093510,3509,3510,406.8333595,47.56317639,359.2701831,0.883089291
35093511,3509,3511,50.54477507,37.78495848,12.75981659,0.252445808
35093512,3509,3512,79.65295753,18.12600193,61.5269556,0.772437804
35093513,3509,3513,12.24597616,21.22683208,8.980855915,0.733371991
35093515,3509,3515,46.46433616,43.16754663,3.296789539,0.070953118
35093516,3509,3516,1.369963288,17.23295224,15.86298896,11.57913434
35093518,3509,3518,58.67317589,18.47987152,40.19330437,0.685037136
35093519,3509,3519,15.47235096,14.88955019,0.582800768,0.037667241
35093520,3509,3520,232.1437677,11.73985155,220.4039161,0.94942853
35093521,3509,3521,21.13560219,18.7646205,2.370981688,0.112179519
35093523,3509,3523,13.01815479,12.32169829,0.696456505,0.053498865
35093524,3509,3524,12.94414548,30.02044306,17.07629758,1.319229424
35093525,3509,3525,11.62954493,13.58251247,1.952967542,0.167931553
35093526,3509,3526,42.02200384,11.91583869,30.10616514,0.716438113
35093529,3509,3529,4.614256712,14.85055827,10.23630156,2.21840747
35093530,3509,3530,11.9334074,41.51594888,29.58254148,2.478968537
35093534,3509,3534,2.899003836,20.70292323,17.80391939,6.141392147
35093536,3509,3536,5.750258356,28.97659411,23.22633575,4.039181253
35093538,3509,3538,2.12463863,65.5289547,63.40431607,29.8424001
35093539,3509,3539,25.10589671,17.90984993,7.196046782,0.286627754
35093540,3509,3540,12.2998474,15.7865192,3.486671805,0.283472769
35093541,3509,3541,40.81160356,7.980872829,32.83073073,0.804445988
35093542,3509,3542,3.676729041,8.76632876,5.089599718,1.38427381
35093543,3509,3543,16.69531288,17.8633538,1.168040924,0.069962206
35093547,3509,3547,167.4456849,9.880730766,157.5649542,0.940991428
35093548,3509,3548,34.48012329,7.442967052,27.03715624,0.784137458
35093553,3509,3553,13.2882274,7.77649378,5.511733617,0.41478321
35093557,3509,3557,4.377463836,13.64331558,9.26585174,2.116716914
35093558,3509,3558,2.84707726,9.898832166,7.051754906,2.476840023
35099753,3509,9753,52.27202301,6.634694041,45.63732897,0.873073708
35099766,3509,9766,8.721263014,17.61255591,8.891292894,1.019496016
35099771,3509,9771,59.61559452,19.05422689,40.56136763,0.680381836
35099775,3509,9775,1.993838082,6.112160865,4.118322783,2.06552519
35099786,3509,9786,5.111589589,117.0144553,111.9028657,21.89198952
35099787,3509,9787,37.82987753,4.942798529,32.88707901,0.869341408
35099788,3509,9788,168.9607126,1.929276311,167.0314363,0.988581509
35099789,3509,9789,3.908290411,4.994953417,1.086663006,0.278040496
35099790,3509,9790,25.6874263,3.958675886,21.72875042,0.845890521
35099791,3509,9791,24.50586603,13.7065162,10.79934982,0.440684276
35099793,3509,9793,14.3012389,2.081578178,12.21966073,0.854447703
35099794,3509,9794,3.129346301,8.517593617,5.388247316,1.721844372
35103501,3510,3501,296.7212386,13.1220908,283.5991478,0.955776368
35103502,3510,3502,10.5346337,11.10633276,0.571699062,0.054268528
35103506,3510,3506,1593.261701,2.957603847,1590.304097,0.99814368
35103507,3510,3507,1372.030295,4.695357136,1367.334937,0.996577804
35103509,3510,3509,271.9183258,3.648704756,268.269621,0.986581615
35103510,3510,3510,1125.86747,1.297642178,1124.569828,0.998847429
35103511,3510,3511,732.2141866,0.037064949,732.1771216,0.99994938
35103512,3510,3512,1362.204048,0.015379639,1362.188668,0.99998871
35103513,3510,3513,354.1072521,49.54149122,304.5657608,0.860094672
35103514,3510,3514,178.96406,52.97796711,125.9860929,0.703974267
35103515,3510,3515,418.097657,247.6481632,170.4494938,0.407678663
35103516,3510,3516,14.51863178,87.18220376,72.66357198,5.004849842
35103518,3510,3518,305.8387011,134.9590202,170.8796809,0.558724845
35103519,3510,3519,68.95837507,105.1484331,36.19005805,0.524810192
35103520,3510,3520,1774.719625,50.24385698,1724.475768,0.97168913
35103521,3510,3521,156.3132625,38.98069588,117.3325666,0.750624513
35103522,3510,3522,4.418309863,29.96418107,25.5458712,5.781819745
35103523,3510,3523,47.98481123,25.43154589,22.55326534,0.470008421
35103524,3510,3524,280.4521356,25.84976855,254.6023671,0.907828234
35103525,3510,3525,98.7997274,17.81976244,80.97996496,0.819637534
35103526,3510,3526,136.1041055,36.27924822,99.82485726,0.733444865
35103528,3510,3528,20.70041507,36.36974761,15.66933254,0.756957408
35103529,3510,3529,7.210870137,97.47032663,90.25945649,12.51713798
35103530,3510,3530,190.3769989,38.02370592,152.353293,0.800271534
35103531,3510,3531,5.569962466,8.961157672,3.391195207,0.608836276
35103532,3510,3532,9.483487397,15.34075279,5.857265392,0.617627793
35103534,3510,3534,2.004511781,21.83975892,19.83524714,9.895300856
35103536,3510,3536,4.057859178,19.43039834,15.37253917,3.788337271
35103537,3510,3537,67.35362932,15.32478301,52.0288463,0.772472795
35103538,3510,3538,10.3702989,7.586896864,2.78340204,0.268401332
35103539,3510,3539,80.36556411,8.742874387,71.62268972,0.891211186
35103540,3510,3540,3.834055342,17.79203739,13.95798205,3.640527014
35103541,3510,3541,62.38318438,7.241860328,55.14132406,0.883913263
35103542,3510,3542,16.15951562,7.715142012,8.444373604,0.522563535
35103543,3510,3543,142.7935611,6.36824498,136.4253161,0.955402436
35103544,3510,3544,63.56631616,5.172280392,58.39403577,0.918631742
35103546,3510,3546,4.48852411,8.437156484,3.948632375,0.879717314
35103547,3510,3547,274.177831,5.408452481,268.7693785,0.980273925
35103548,3510,3548,56.08371945,12.82434924,43.25937021,0.771335615
35103549,3510,3549,17.49148986,5.861636541,11.62985332,0.664886377
35103551,3510,3551,6.166136164,5.411167686,0.754968478,0.122437854
35103552,3510,3552,9.823613973,6.77132411,3.052289862,0.310709467
35103553,3510,3553,24.15390767,19.56884079,4.585066879,0.189827126
35103554,3510,3554,2.170942192,12.54374348,10.37280129,4.778018192
35103556,3510,3556,27.01156438,18.82721089,8.184353497,0.302994428
35103557,3510,3557,50.79861014,54.90954964,4.110939506,0.08092622
35103558,3510,3558,10.10586493,11.80123601,1.695371075,0.167761106
35103560,3510,3560,2.05500411,9.689850055,7.634845946,3.715246072
35109753,3510,9753,55.70904027,4.181363573,51.5276767,0.924942818
35109766,3510,9766,22.87300137,4.734337443,18.13866393,0.793016344
35109767,3510,9767,7.442852055,10.48245489,3.039602834,0.408392215
35109771,3510,9771,315.36374,5.627748486,309.7359915,0.982154738
35109775,3510,9775,60.98397233,3.580539433,57.4034329,0.941287206
35109776,3510,9776,1.675151781,3.878974241,2.203822461,1.315595689
35109777,3510,9777,2.988828493,6.248197828,3.259369335,1.090517352
35109786,3510,9786,1.062230959,4.636027438,3.573796479,3.36442508
35109787,3510,9787,28.33517781,3.405880315,24.92929749,0.879800284
35109788,3510,9788,126.7998948,10.98310413,115.8167907,0.913382388
35109789,3510,9789,13.68826192,9.25586175,4.432400168,0.323810298
35109790,3510,9790,10.40972027,2.482863311,7.926856963,0.761486068
35109791,3510,9791,50.45538877,49.50478332,0.950605447,0.018840514
35109792,3510,9792,16.27176466,2.208596137,14.06316852,0.864268186
35109793,3510,9793,22.65801945,0.900923791,21.75709566,0.960238193
35109794,3510,9794,70.72930164,2.063780756,68.66552089,0.970821418
35109795,3510,9795,1.472957534,2.1481864,0.675228866,0.458417063
35113501,3511,3501,53.13042685,6.632194807,46.49823204,0.875171438
35113502,3511,3502,2.882804658,0.998362871,1.884441786,0.653683482
35113506,3511,3506,105.2351301,4.120525282,101.1146049,0.960844584
35113507,3511,3507,253.7057537,6.169778237,247.5359755,0.975681363
35113509,3511,3509,65.29222082,5.280966645,60.01125418,0.919117981
35113510,3511,3510,735.5346427,1.666778437,733.8678643,0.997733923
35113511,3511,3511,130.7736553,2.723713002,128.0499423,0.979172311
35113512,3511,3512,478.6627482,2.136216239,476.526532,0.995537116
35113513,3511,3513,50.48920493,0.738572654,49.75063228,0.985371672
35113514,3511,3514,174.6851485,0.022447758,174.6627007,0.999871496
35113515,3511,3515,77.01765425,0.009471648,77.0081826,0.99987702
35113516,3511,3516,10.42251534,350.6915182,340.2690029,32.6474936
35113518,3511,3518,55.07646521,234.6363114,179.5598462,3.260191907
35113519,3511,3519,4.391330685,395.5678608,391.1765301,89.07926962
35113520,3511,3520,206.7007162,770.5806672,563.8799511,2.728001922
35113521,3511,3521,63.96977397,557.5034883,493.5337143,7.715107991
35113523,3511,3523,11.22596027,773.7976865,762.5717262,67.92930917
35113524,3511,3524,93.63919671,989.251571,895.6123743,9.564502962
35113525,3511,3525,8.017395616,706.9350896,698.917694,87.17515356
35113526,3511,3526,124.8250748,622.5013848,497.67631,3.98698988
35113528,3511,3528,37.98887671,473.4772257,435.488349,11.46357531
35113529,3511,3529,1.575380548,323.5554932,321.9801126,204.3824351
35113530,3511,3530,42.23287507,218.1924585,175.9595834,4.166412615
35113532,3511,3532,4.082761918,255.431673,251.3489111,61.56345046
35113534,3511,3534,18.1910611,237.01653,218.825469,12.02928558
35113537,3511,3537,0.649886849,672.5749434,671.9250566,1033.910837
35113538,3511,3538,13.58910082,249.811222,236.2221212,17.38320469
35113540,3511,3540,1.96924137,121.9943159,120.0250745,60.94990506
35113541,3511,3541,18.47790027,92.98586026,74.50795998,4.03227417
35113543,3511,3543,95.24858712,139.7058028,44.45721567,0.466749345
35113544,3511,3544,3.559053699,119.9443675,116.3853138,32.70119634
35113547,3511,3547,18.42519836,88.3256257,69.90042734,3.793740832
35113552,3511,3552,3.488170685,97.41238366,93.92421298,26.92649571
35113556,3511,3556,4.587199452,117.6675573,113.0803579,24.65128431
35113557,3511,3557,2.887357808,107.1981411,104.3107833,36.12672562
35119767,3511,9767,7.470010137,91.91430324,84.4442931,11.30444157
35119771,3511,9771,43.46036082,99.80767148,56.34731066,1.296521925
35119775,3511,9775,15.08404466,76.74705743,61.66301277,4.087962756
35119776,3511,9776,1.700567945,57.12524237,55.42467443,32.5918612
35119787,3511,9787,23.32815973,39.11782974,15.78967001,0.676850219
35119791,3511,9791,2.076325753,60.39443938,58.31811362,28.08716962
35119793,3511,9793,13.36681178,69.82061488,56.4538031,4.22343069
35119794,3511,9794,1.393531233,68.84635955,67.45282831,48.40424579
35123501,3512,3501,91.22821945,58.48007051,32.74814894,0.358969507
35123506,3512,3506,577.9479638,77.24527158,500.7026923,0.866345629
35123507,3512,3507,135.1786827,104.5105838,30.66809894,0.226870823
35123509,3512,3509,16.20794767,107.9866889,91.77874126,5.662576356
35123510,3512,3510,3093.355431,164.5204944,2928.834937,0.946814875
35123511,3512,3511,249.6591055,213.0225276,36.63657787,0.146746412
35123512,3512,3512,2072.764146,65.4493143,2007.314832,0.968424138
35123513,3512,3513,326.3731099,71.97938047,254.3937294,0.779456768
35123514,3512,3514,776.1173214,32.95656382,743.1607575,0.957536621
35123515,3512,3515,519.2015255,35.99204853,483.2094769,0.930678076
35123516,3512,3516,14.91057753,32.16111365,17.25053611,1.156932793
35123518,3512,3518,719.3319447,37.77035578,681.5615889,0.947492453
35123519,3512,3519,103.7439326,30.89813545,72.84579716,0.702169229
35123520,3512,3520,1329.746908,32.02421162,1297.722696,0.975917063
35123521,3512,3521,103.3483438,21.39148848,81.95685535,0.793015662
35123522,3512,3522,10.66433014,42.07317745,31.40884731,2.945224586
35123523,3512,3523,51.35169699,28.01053573,23.34116125,0.454535344
35123524,3512,3524,28.77153918,20.93261943,7.838919749,0.272453959
35123525,3512,3525,69.46934986,29.91110156,39.55824831,0.569434555
35123526,3512,3526,185.9607989,8.616429953,177.344369,0.953665342
35123528,3512,3528,25.68425973,155.7516245,130.0673648,5.064088519
35123529,3512,3529,260.8973189,7.666890063,253.2304288,0.970613381
35123530,3512,3530,21.18556384,3.23912672,17.94643712,0.847106891
35123531,3512,3531,106.9577375,7.225683608,99.73205393,0.932443563
35123536,3512,3536,36.02416521,16.6355267,19.3886385,0.538212014
35123537,3512,3537,6.040012329,59.68400704,53.64399471,8.881437949
35123538,3512,3538,19.48262849,8.463885237,11.01874326,0.565567591
35123539,3512,3539,128.6198729,37.14388114,91.47599174,0.711211959
35123540,3512,3540,19.96087973,55.57564998,35.61477025,1.784228488
35123541,3512,3541,91.38345726,45.3919293,45.99152796,0.503280674
35123542,3512,3542,5.462255068,12.06396566,6.601710587,1.20860533
35123543,3512,3543,625.3187268,17.8192808,607.4994461,0.971503683
35123544,3512,3544,4.350430137,13.48349811,9.133067978,2.099348269
35123547,3512,3547,154.9601222,5.264091608,149.6960306,0.966029379
35123548,3512,3548,42.05084959,0.136939134,41.91391045,0.996743487
35123549,3512,3549,42.90681205,0.05700981,42.84980225,0.998671311
35123551,3512,3551,28.73851534,26.65125838,2.087256964,0.072629255
35123553,3512,3553,83.82168219,18.46281106,65.35887113,0.779737049
35123557,3512,3557,7.610168219,34.5899598,26.97979158,3.54522933
